iter	Passed	Remaining
228	606	2042
229	607	2033
230	607	2023
231	608	2014
232	609	2007
233	610	1998
234	611	1989
235	613	1984
236	613	1975
237	614	1967
238	615	1958
239	615	1949
240	616	1941
241	616	1932
242	617	1924
243	618	1915
244	618	1907
245	619	1899
246	620	1891
247	621	1883
248	622	1876
249	622	1867
250	623	1859
251	623	1851
252	624	1843
253	624	1835
254	625	1827
255	625	1819
256	628	1816
257	628	1808
258	630	1802
259	630	1794
260	631	1787
261	631	1779
262	632	1772
263	633	1765
264	633	1757
265	634	1750
266	635	1743
267	635	1736
268	636	1729
269	637	1722
270	637	1715
271	638	1708
272	639	1701
273	639	1694
274	640	1687
275	640	1681
276	644	1681
277	645	1675
278	645	1668
279	646	1663
280	647	1656
281	648	1649
282	648	1643
283	649	1636
284	649	1630
285	650	1623
286	651	1617
287	651	1611
288	652	1604
289	652	1598
290	653	1591
291	653	1585
292	654	1579
293	655	1573
294	655	1567
295	658	1565
296	659	1560
297	659	1554
298	660	1548
299	661	1542
300	661	1536
301	662	1531
302	662	1525
303	663	1519
304	664	1513
305	664	1507
306	665	1502
307	665	1496
308	666	1490
309	667	1484
310	667	1479
311	668	1473
312	668	1467
313	669	1461
314	669	1456
315	670	1450
316	671	1446
317	674	1446
318	675	1441
319	675	1436
320	676	1431
321	677	1425
322	677	1420
323	678	1414
324	678	1409
325	679	1404
326	680	1399
327	680	1394
328	681	1390
329	682	1385
330	683	1381
331	683	1376
332	684	1370
333	684	1365
334	685	1360
335	686	1356
336	689	1355
337	689	1351
338	690	1347
339	691	1342
340	692	1337
341	692	1332
342	693	1327
343	693	1322
344	694	1318
345	694	1313
346	695	1308
347	695	1303
348	696	1298
349	696	1294
350	697	1289
351	697	1284
352	698	1280
353	699	1275
354	699	1271
355	700	1267
356	702	1265
357	703	1261
358	704	1257
359	705	1253
360	705	1249
361	706	1245
362	707	1240
363	707	1236
364	708	1232
365	709	1228
366	709	1224
367	710	1220
368	711	1216
369	711	1211
370	712	1207
371	712	1203
372	713	1198
373	713	1194
374	714	1190
375	715	1186
376	715	1182
377	719	1183
378	719	1179
379	720	1175
380	720	1171
381	721	1167
382	722	1163
383	722	1159
384	723	1155
385	723	1151
386	724	1147
387	724	1143
388	725	1139
389	725	1135
390	726	1131
391	727	1127
392	727	1123
393	728	1120
394	728	1116
395	729	1112
396	730	1108
397	730	1105
398	733	1104
399	734	1101
400	734	1097
401	735	1094
402	736	1090
403	736	1086
404	737	1082
405	737	1079
406	738	1075
407	738	1071
408	739	1068
409	739	1064
410	740	1060
411	740	1057
412	741	1053
413	741	1050
414	742	1046
415	743	1043
416	743	1039
417	744	1036
418	744	1032
419	745	1029
420	745	1025
421	748	1024
422	749	1022
423	749	1018
424	750	1015
425	751	1012
426	751	1008
427	752	1005
428	753	1002
429	753	999
430	754	995
431	754	992
432	755	989
433	755	985
434	756	982
435	757	979
436	757	976
437	758	972
438	758	969
439	759	966
440	759	963
441	760	960
442	764	961
443	765	958
444	766	955
445	766	952
446	767	949
447	768	946
448	768	943
449	769	939
450	769	936
451	770	933
452	771	931
453	771	928
454	772	925
455	772	922
456	773	919
457	774	916
458	774	912
